job_title,matched_standard_role
WEB/AI Team,Web Developer
Head of the WEB3 Promotion Room Utilization Department,Information Technology Manager
WEB Application Engineer,Web Application Developer
WEB Application Developer,Web Application Developer
WEB ENGINEER,Web Developer
WEB SERVICES ENGINEER,Web Developer
Website Design/Construction/Developer,Website Designer
"GM, Web System Development Department",Web Developer
WEB DEVELOPER,Web Developer
WEB DESIGNER,Web Designer
WEB DESIGN,Web Designer
WEB MARKETER,Marketing Specialist
"General Manager, WEB Marketing Department",Digital Marketing Manager
WEBMASTER,Web Developer
WEB ADMINISTRATOR,Web Administrator
WEB DEVELOPMENT,Web Developer
WEB DEVELOPMENT/ENGINEER,Web Developer
WEB DEVELOPER,Web Developer
"Engineer, Web Development Department",Web Developer
WING Manager,Information Technology Manager
"X (Cross) Innovation Division, Software Design Center, Development Technology Group, Associate Manager",Information Technology Manager
"YOJO Division, Engineering Manager",Engineering Manager
A,Information Technology Generalist
architecture,Architect
Engineering Manager,Engineering Manager
Engineering Manager,Engineering Manager
Engineering Units,Engineer
Engineering Leader,Engineering Manager
"General Manager, Engineering Business Planning Division",Engineering Manager
"Network Integration Department, Engineering Division",Network Engineer
Engineering Technician,Health Specialist
Engineering Promotion Division/Professional,Engineer
Head of Engineering,Engineer
"Group Manager, Chief of Engineering",Engineering Manager
Engineering Department: None,Engineer
Engineering Department,Engineer
"Engineering Department, Electrical Engineering Office, Section Manager Class",Engineering Manager
"Electrograph Systems Section, Engineering Department and System Strategy Department",Engineer
Leader of the Engineering Department,Engineering Manager
Enterprise Architect,Enterprise Architect
Enterprise Account Manager,Account Manager
Enterprise Sales,Sales Specialist
"General Manager, Enterprise Solutions Business Unit",Information Technology Manager
"Deputy General Manager, Enterprise Business Solutions Department",Information Technology Manager
"Enterprise Business Sales Department, General Employees and Staff",Sales Employee
"Cloud Architect, Enterprise Division",Cloud Architect
"Chief Project Manager, Enterprise Promotion Division",Project Manager
"Enterprise Headquarters, General Employees and Staff",Office Worker
"Enterprise Headquarters, Development Dept. 3, PS Development Team",Business Development Specialist
"Enterprise Development Division, Development Dept. 3, PS Development Team",Business Development Specialist
"Endpoint Security Department, Section Chief/Supervisor Class",Information Technology Security Manager
"General Manager, End User Business Division",Information Technology Manager
"Embedded Business Division, Sales Manager",Sales Manager
Automation Engineer,Information Technology Engineer
Automotive Sales Manager,Sales Manager
"Chief, Solution Business Department, Automotive Systems Division",Information Technology Manager
"General Manager of Automotive Sales Division, General Manager of Applied Technology Division, Director",Sales Director
owner,Information Technology Generalist
"Honest Eye HD Manager of Financial Strategy Department, Manager of Public Relations & Corporate Planning Department, and Manager of Legal & Intellectual Property Strategy Department",Administration Manager
officer,Information Technology Generalist
Office System Manager,Project Manager
Office,Information Technology Generalist
operation,Operations Specialist
Operation TCR,Operations Specialist
Operations Engineer,Information Technology Engineer
Operations Consultant,Process Specialist
Operations Manager,Operations Specialist
"Leader, Operations Enhancement Department",Operations Specialist
"Manager, Operations Planning Group, Operations Department",Operations Manager
operator,Information Technology Generalist
Online Editor,Production Editor
Customer Support Center Director,Service Support Specialist
Carbon Neutrality Promotion Division/Deputy General Manager,Information Technology Generalist
counselor,Information Technology Generalist
IT Promotion,Technology Development Engineer
CUSTOMER SERVICE,Customer Service Specialist
Customer Service Senior Manager,Customer Service Manager
"Customer Service Department, General Employees and Staff",Customer Service Specialist
Customer Success,Customer Service Specialist
Customer Success Manager,Customer Service Specialist
Customer Support Engineer,Technical Support Representative
Customer Support Manager,Customer Service Specialist
"Customer Support Headquarters, General Manager Class",Customer Service Manager
Customer Solutions Manager,Customer Service Specialist
Customer Project Manager,Project Manager
"General Manager, Customer Engineering Department",Engineering Manager
Customer Operations Group Manager,Customer Service Manager
"Customer Support Division, Service Center, Director, Deputy General Manager",Service Support Manager
Governance Manager,Information Technology Governance Manager
cameraman,Photographer
Country Director,Director General
Country Manager,Chief Sales Officer
Key Account Manager,Account Manager
"Geeks Co., Ltd., Corporate Design Department, Corporate Management Division, Information Systems Leader,",Information Technology Generalist
captain,Information Technology Generalist
Character Modeler,3D Artist
Career Advisors,Career Counselor
Career Coach,Career Counselor
Career Consultant,Career Counselor
Campaign Manager,Information Technology Manager
curator,Information Technology Generalist
Client Executives,Account Executive
Client & Partner,Business Development Manager
Client Advisors,Consultant
Client Engineer,Infrastructure Engineer
Client Service,Customer Service Specialist
Client Director,Director of Sales and Client Services
Client Part Engineer,Information Technology Engineer
Client Partners,Business Development Manager
Client Reader,Consultant
Client Relations,Information Technology Generalist
cloud,Information Technology Generalist
Cloud Architect,Cloud Architect
Cloud/Backup,Information Technology Generalist
"Cloud Solution Technology Division, First Technology Department, Section Manager",Information Technology Manager
Cloud COE Office Manager,Information Technology Manager
Cloud Architect,Cloud Architect
"Cloud Integration Division, Sales Department",Information Technology Generalist
Cloud Engineer,Cloud Engineer
Cloud Service Dept. Manager,Information Technology Manager
"Cloud Service Department, Section Manager",Information Technology Manager
"Cloud Service Development Department, Automated Innovation Section, Section Manager",Information Technology Manager
"Cloud Solutions Department, Infrastructure Engineer",Infrastructure Engineer
"Cloud Solutions Department, Engineer",Cloud Engineer
Cloud Sales Department 2 General Employees and Staff,Technical Sales Professional
Cloud infrastructure operation,Infrastructure Engineer
"Cloud Infrastructure Development Department, Section Chief, Chief Class",Infrastructure Manager
Cloud Technician,Information Technology Generalist
"General Manager, Cloud Promotion Department",Information Technology Manager
graphic designer,Graphic Designer
creator,Content Developer
Creator & Engineer Division,Engineer
creative,Creative Designer
Creative Director/Manager,Information Technology Manager
Creative Associate,Creative Designer
Creative Director,Digital Art Director
Creative Designer,Creative Designer
Creative Producer,Production Editor
Creative Manager,Information Technology Manager
Creative Leader,Creative Designer
Head of Creative Office,Information Technology Manager
crew,Flight Crew
